camera,day,frame_file,timestamp,person_count
balcony,day1,balcony_day1_18-13-15.jpg,18:13:15,5
balcony,day1,balcony_day1_18-13-18.jpg,18:13:18,7
balcony,day1,balcony_day1_18-13-21.jpg,18:13:21,3
balcony,day1,balcony_day1_18-13-24.jpg,18:13:24,5
balcony,day1,balcony_day1_18-13-27.jpg,18:13:27,5
balcony,day1,balcony_day1_18-13-30.jpg,18:13:30,4
balcony,day1,balcony_day1_18-13-33.jpg,18:13:33,9
balcony,day1,balcony_day1_18-13-36.jpg,18:13:36,8
balcony,day1,balcony_day1_18-13-39.jpg,18:13:39,4
balcony,day1,balcony_day1_18-13-42.jpg,18:13:42,3
balcony,day1,balcony_day1_18-13-45.jpg,18:13:45,7
balcony,day1,balcony_day1_18-13-48.jpg,18:13:48,4
balcony,day1,balcony_day1_18-13-51.jpg,18:13:51,2
balcony,day1,balcony_day1_18-13-54.jpg,18:13:54,2
balcony,day1,balcony_day1_18-13-57.jpg,18:13:57,1
balcony,day1,balcony_day1_18-14-00.jpg,18:14:00,1
balcony,day1,balcony_day1_18-14-15.jpg,18:14:15,5
balcony,day1,balcony_day1_18-14-18.jpg,18:14:18,7
balcony,day1,balcony_day1_18-14-21.jpg,18:14:21,7
balcony,day1,balcony_day1_18-14-24.jpg,18:14:24,5
balcony,day1,balcony_day1_18-14-27.jpg,18:14:27,5
balcony,day1,balcony_day1_18-14-30.jpg,18:14:30,5
balcony,day1,balcony_day1_18-14-33.jpg,18:14:33,5
balcony,day1,balcony_day1_18-14-36.jpg,18:14:36,4
balcony,day1,balcony_day1_18-14-39.jpg,18:14:39,3
balcony,day1,balcony_day1_18-14-42.jpg,18:14:42,3
balcony,day1,balcony_day1_18-14-45.jpg,18:14:45,3
balcony,day1,balcony_day1_18-14-48.jpg,18:14:48,3
balcony,day1,balcony_day1_18-14-51.jpg,18:14:51,1
balcony,day1,balcony_day1_18-15-00.jpg,18:15:00,1
balcony,day1,balcony_day1_18-15-03.jpg,18:15:03,1
balcony,day1,balcony_day1_18-15-09.jpg,18:15:09,3
balcony,day1,balcony_day1_18-15-12.jpg,18:15:12,3
balcony,day1,balcony_day1_18-15-15.jpg,18:15:15,4
